"1","2007-12-22","ARISEM","Massy","Sujet : Etude, spécification et développement d'un système d'extraction de
relations entre entités nommées.

Date de démarrage : février/mars 2008
Durée : 6 mois
Niveau : Master en TAL

Contexte
--------

Dans le cadre de ses travaux de R&D, Arisem a créé un nouveau moteur
d'analyse sémantique et d'extraction d'information. Afin d'améliorer
sa pertinence, nous travaillons actuellement sur l'extraction de
relations sémantiques entre entités nommées.

Contenu du stage
----------------

D'une durée de 6 mois, ce stage est consacré à l'étude de la
problématique concernant l'extraction de relations et des différentes
approches existantes. Par la suite, le stagiaire sera amené à
participer au développement des ressources pour l'acquisition de
relations à partir d'un corpus de textes.

En collaboration avec les équipes R&D d'Arisem, le travail du
stagiaire sera découpé en trois phases :
- Compréhension de notre problématique d'extraction ;
- Etude et compréhension des différentes approches existantes pour
l'extraction de relations ;
- Participation au développement du système d'acquisition de relations
entre entités nommées.

Profil recherché
----------------

Etudiant en dernière année de master en traitement automatique des
langues, le candidat doit avoir de bonnes connaissances en
informatique et des logiciels de traitement automatique des langues
(Unitex, Gate, etc.).


Les candidatures sont à adresser à :
nicolas.dessaigne@arisem.com
aurelie.migeotte@arisem.com"
"2","2008-01-08","IGN","Saint-Mandé","Contexte

Le laboratoire COGIT travaille à un projet de conception de carte sur
mesure, c'est-à-dire une carte pertinente et efficace par rapport aux
objectifs du concepteur et adaptée à ses goûts.

Un des axes de recherche vise à constituer des bases de connaissances
qui permettront d'exploiter la description que l'utilisateur fait de
son besoin pour l'aider à concevoir sa carte dans les règles de
l'art. Pour cela, il est nécessaire d'établir des correspondances
entre la description que des utilisateurs peuvent faire de leur carte
et les paramètres de construction d'une carte tels qu'ils sont définis
par des experts.

Différentes actions ont été mises en place pour faire décrire une
carte par des publics variés. Ces travaux ont permis d'ébaucher une
description formalisée de carte.

Sujet

Le stage a pour objectif d'exploiter un ensemble commenté et organisé
d'interviews. Ces interviews font partie d'une enquête réalisée par un
service de l'IGN concernant la carte au 1/50 000 par rapport au thème
de la randonnée (à pied, en vélo, en VTT, ...). Il s'agit de mettre en
forme ce corpus puis de l'exploiter (manuellement, avec des outils de
TALN et éventuellement des méthodes numériques) afin d'identifier en
particulier les acteurs, les activités, les objectifs des acteurs par
rapport aux activités.  Ces éléments permettront de proposer des
caractéristiques de cartes pertinentes par rapport aux souhaits des
utilisateurs et cohérentes avec le modèle de description de cartes qui
est en cours d'élaboration dans l'équipe de recherche.

Compétences particulières et formation requise

master avec compétences en informatique linguistique, éventuellement
en cartographie.

Une bonne maîtrise de la langue française est indispensable.

Lieu du stage
Institut géographique national
2 avenue Pasteur
94160 Saint-Mandé

Durée et rémunération 
durée : 4 à 6 mois
début : mars/avril 2008
rémunération : 30% du SMIC

Responsable de stage
Catherine DOMINGUES
mel : catherine.domingues@ign.fr
Tél : 01 43 98 85 44
http://recherche.ign.fr/cogit"
"3","2008-01-13","LIMSI - CNRS","Orsay","Titre : Détection d'expressions figées pour les systèmes de questions-réponses

Date de démarrage : mars/avril 2008
Durée : 4 mois

Lieu du stage : LIMSI/CNRS, groupe LIR    (91403 Orsay)

Voir aussi : 
http://www.limsi.fr/Individu/xtannier/fr/Stages/sujet_M2R_expressions_figees.html

Thème  :

Dans le cadre des systèmes de questions-réponses, de recherche
d'information, mais aussi en analyse syntaxique et dans de nombreux
domaines, il est intéressant de connaître les expressions figées ou
semi-figées.  Par exemple, les locutions comme ""pomme de terre"" ou
""perdre la vie"", mais aussi des entités nommées ou des expressions
longues comme ""la déclaration universelle des droits de l'homme et du
citoyen"".  En recherche d'information et dans les systèmes
questions-réponses, connaître ce type de locutions nous permet de
décider si la requête doit être constituée de l'expression entière ou
si les mots doivent être considérés de façon indépendante.


Description  du  stage  :

De nombreux travaux ont traité le problème des locutions, mais de
nombreuses imperfections subsistent.  Le but du stage est d'étudier
l'état de l'art en la matière et de mettre en ½uvre une méthode
adaptée au contexte des systèmes de questions-réponses.


Contacts :
Xavier Tannier : xavier.tannier@limsi.fr
Véronique Moriceau : moriceau@limsi.fr

---------------"
"4","2008-01-13","LIMSI - CNRS","Orsay","--------------
Titre : Détection et validation de paraphrases en contexte

Date de démarrage : mars/avril 2008
Durée : 4 mois

Mots-clés : analyse syntaxique, paraphrases, traitement automatique de
la langue, système de questions-réponses

Lieu du stage : LIMSI/CNRS, groupe LIR     ( 91403 Orsay)

Voir aussi : 
http://www.limsi.fr/Individu/xtannier/fr/Stages/sujet_M2R_paraphrases.html

Contexte  : 
Dans le domaine de la recherche d'information, l'un des défis actuels
porte sur les systèmes de questions-réponses en domaine ouvert.
L'objectif de ces systèmes est de fournir une réponse à une question
exprimée en langage naturel en trouvant cette réponse dans un ensemble
de documents, ensemble éventuellement très large et pouvant aller
jusqu'au Web.
La plupart des systèmes de questions-réponses sont à même d'extraire
la réponse à une question factuelle lorsqu'elle est explicitement
présente dans les textes mais dans le cas contraire, ils ne sont pas
capables d'agencer différents morceaux d'information dans le cadre
d'un raisonnement pour produire une réponse.
Par exemple un raisonnement dans lequel il faut assembler plusieurs
extraits d'informations répartis dans plusieurs documents ou dans
plusieurs phrases d'un même document.  Par exemple, pour répondre à la
question ""Quel est l'âge de la femme de Tom Cruise ?"", il faut tout
d'abord identifier la femme de Tom Cruise puis chercher son âge.
Le projet CONIQUE a pour objectif de pallier cette insuffisance et
s'inscrit en cela dans un courant de recherche actuellement très actif
visant à intégrer dans les systèmes de questions-réponses des
mécanismes de compréhension de textes s'appuyant sur des inférences.
Contrairement à la plupart des travaux allant dans ce sens, le premier
axe de notre projet a pour but non pas de constituer ou d'exploiter
une base de connaissances a priori permettant de répondre aux
questions mais de modéliser l'extraction de ces connaissances à partir
de différents textes en fonction des besoins nécessaires à la
construction d'un chemin inférentiel entre les éléments trouvés dans
les textes et l'information cherchée, telle qu'elle est spécifiée par
une question.


Thème  :
Les analyseurs syntaxiques sont des outils de traitement automatique
de la langue permettant d'identifier les relations syntaxiques entre
les constituants d'une phrase (SUJET, OBJET, etc.).  Ils fournissent
des sorties dans un format qui leur est propre.
Dans le cadre de ce projet, on utilise un analyseur syntaxique pour
déterminer si un passage pré-sélectionné par un moteur de recherche
répond réellement à la question de l'utilisateur.  On cherche
notamment à montrer que certaines relations syntaxiques (ou
éventuellement sémantiques) présentes dans des passages sont (ou ne
sont pas) équivalents aux relations présentes dans la question.  Par
exemple, la question pourra porter sur le nombre de personnes ayant
""perdu la vie"" lors d'un événement, tandis que le passage précise que
cet événement ""a fait X morts"".  Cet aspect se rapproche de la
problématique de la recherche de paraphrases.

Travail  à  réaliser  : 
Le but du stage est d'étudier l'état de l'art en la matière, de
réfléchir aux avantages de se situer dans un contexte précis (les
passages) plutôt que dans un cadre général (ce que fait la
littérature), ainsi que de mettre en place des techniques de
validation des paraphrases.

Contacts :
Xavier Tannier : xavier.tannier@limsi.fr
Véronique Moriceau : moriceau@limsi.fr

---------------"
"5","2008-01-16","ARISEM","Massy","Sujet : Enrichissement des ressources linguistiques pour l'extraction
d'entités nommées

Date de démarrage: février/mars 2008 
Durée: 6 mois
Niveau: Master en TAL

Contexte
--------

Dans le cadre de ses travaux de R&D, Arisem a créé un nouveau moteur
d'analyse sémantique et d'extraction d'information. L'approche choisie 
s'appuie sur l'utilisation conjointe de différents types de ressources
linguistiques (dictionnaires, grammaires, ontologies, expressions
régulières, etc.).

Contenu du stage
----------------

D'une durée de 6 mois, ce stage est consacré à la mise à jour et
l'enrichissement des ressources linguistiques dédiées à l'allemand, le
néerlandais, l'italien et le portugais.

En collaboration avec les équipes R&D d'Arisem, le stagiaire aura pour 
objectifs principaux la création et l'enrichissement des ressources
suivantes:
- Dictionnaires de langue générale et dictionnaires orientés métier;
- Grammaires locales d'extraction d'entités nommées; 
- Ontologies métier.

Dans le cadre de son travail, le stagiaire sera également amené à:
- Participer à l'amélioration de l'éditeur de ressources linguistiques;
- Créer des corpus de test et des corpus annotés pour permettre 
l'évaluation des ressources et des traitements.

Profil recherché
----------------

Etudiant en dernière année de master en traitement automatique des
langues, le candidat doit être bilingue dans l'une des langues 
suivantes: allemand, néerlandais, italien ou portugais.

La maîtrise des outils Unitex ou Nooj et des compétences en
informatique (perl, commandes unix) sont appréciées.


Les candidatures sont à adresser à : 
nicolas.dessaigne@arisem.com <mailto:nicolas.dessaigne@arisem.com>
aurelie.migeotte@arisem.com <mailto:aurelie.migeotte@arisem.com>
---
Nicolas Dessaigne,
Directeur technique
Arisem"
"6","2008-01-21","LIMSI - CNRS","Orsay","Le groupe LIR du LIMSI (Orsay) propose le stage suivant en traduction
automatique:

""Un peu de contexte en traduction automatique : exploitation de
relations grammaticales en traduction automatique statistique""

Mots clés      : traduction automatique, traitement automatique des
                 langues, analyse syntaxique, désambiguïsation
                 lexicale
Niveau d'étude : Master Recherche ou fin d'école d'ingénieurs en
                 informatique
Durée du stage : 4 mois à partir de mars 2008
Lieu du stage  : laboratoire LIMSI-CNRS, Orsay (RER ligne B)
Description    : http://perso.limsi.fr/amax/recherche/sujet1-amax-M2R-2008.html
Contact        : aurelien.max@limsi.fr

Résumé :
La traduction automatique a connu un nouvel essor avec l'émergence
d'approches basées sur des corpus. La traduction automatique
statistique connaît toutefois des limites. Des approches récentes
essaient donc d'intégrer des connaissances linguistiques dans ces
systèmes afin de mieux prendre en compte les caractéristiques des
textes à traduire, de leur traduction, et des relations qu'ils
entretiennent.

Les systèmes actuels en traduction automatique statistique se basent
sur une segmentation en groupes de mots des phrases à traduire
auxquels sont associées des traductions (phrase-based machine
translation). Les modèles utilisés pour guider la recherche de la
meilleure traduction se concentrent essentiellement sur les relations
de traduction et sur une bonne formation locale de la langue
cible. L'objet de ce stage est de travailler sur la prise en compte
d'informations linguistiques présentes dans la langue source, afin de
modéliser le contexte dans lequel apparaissent les groupes de mots à
traduire. On s'intéressera notamment à l'exploitation des relations
grammaticales entre les mots pour la paire de langue français-anglais."
"7","2008-01-21","IBISC - Université d'Evry","Evry","Proposition de stage à l'IBISC :
Sujet de stage : Aide à l'annotation d'articles scientifiques

Contexte
QKDB (http://physiome.ibisc.fr/qkdb) est une base de données sur la
physiologie du rein, qui décrit 300 articles scientifiques. Les
informations contenues dans cette base donnent, pour chaque article,
des détails sur les expériences et les résultats décrits dans
l'article : espèce concernée, organe, différentes mesures
effectuées... Ces informations ont été introduites manuellement dans
la base, après lecture de chacun des articles par un expert du
domaine.

Sujet
L'objet du stage est l'aide à l'annotation d'articles scientifiques
pour l'intégration dans la base de données QKDB en repérant
automatiquement les éléments du texte qui décrivent les informations à
ajouter dans la base. A cette fin, il s'agit de constituer une base de
référence contenant les textes dans lesquels seront annotés les
éléments déjà présents dans la base QKDB. En effet, actuellement, on
retrouve les articles qui répondent à une requête, mais on ne sait pas
où l'information est donnée dans l'article.

Il s'agira ainsi de revenir au texte à partir des informations de la
BD en :
- transformant les articles de pdf en texte. On partira d'outils 
  existants qu'il faudra améliorer ;
- projetant les données de la BD dans les textes, en utilisant là
  aussi des outils existants (reconnaissance d'entités numériques et
  reconnaissance de termes) afin de reconnaître la manière dont les
  attributs et les valeurs de la base sont formulés dans les textes.

La base de référence ainsi constituée devra permettre de mettre en
place un outil d'extraction automatique des données sur la physiologie
du rein.

Informations pratiques
Lieu du stage : IBISC, Tour Evry2, Evry 
(http://www.ibisc.univ-evry.fr/), équipe AMISBIO (http://amisbio.ibisc.fr)
Responsables : Brigitte Grau, Anne-Laure Ligozat
Durée : 5 mois
Niveau : M2 ou dernière année d'école d'ingénieur
Stage rémunéré"
"9","2008-02-06","Syllabs","Paris","Proposition de stages au sein de la société Syllabs
---------------------------------------------------

La société : Syllabs est un jeune laboratoire de recherche privé
spécialisé dans les domaines de la Gestion de l'Information et du
Traitement Automatique des Langues.  Syllabs est au coeur de trois
activités complémentaires : La Recherche, les Développements Innovants
et le Conseil.

Pour plus d'infos : www.syllabs.com

Nous recrutons 2 stagiaires :
- 1 linguiste TAL
- 1 linguiste-informaticien(ne)

Si vous êtes intéressé(e) par l'un de ces stages, merci d'envoyer
votre CV accompagné d'une lettre de motivation à l'adresse
jobs@syllabs.com

Syllabs est situé dans le 5ème arrondissement :
62 bis rue Gay Lussac
75005 Paris
Tel : 01.75.00.02.80

Accès :	RER B (Luxembourg) / Bus 21, 27


****************************
LINGUISTE TAL
****************************

* Contexte :

Analyse de plagiats et analyse des opinions

* Sujet du stage :

Aide à la constitution d'une typologie des transformations des textes
et étiquetage d'un corpus de plagiats + Analyse des opinions et
constitution de lexiques

* Objectifs du stage :

La personne recrutée pour ce stage mènera deux tâches en parallèle.
La première est liée au projet Piithie (projet ANR débuté en
2007). Elle concerne la validation et la modification d'une typologie
des transformations des textes et l'étiquetage d'un corpus de plagiats
d'une manière fine afin de tester ladite typologie et de constituer un
corpus de test.
La seconde se fera dans le cadre du projet RPM2 (projet ANR débuté en
2008) et concernera l'analyse des opinions. Les travaux consisteront
en un état de l'art et en la production d'un lexique simple et d'un
lexique ouvert (formes non figées).
La personne travaillera avec des informaticiens et des linguistes et
participera aux réunions projet avec les différents partenaires
(entreprises et laboratoires publics).

* Niveau souhaité : Linguiste TAL Bac+4/Bac+5 - Master

* Durée : 4-6 mois

****************************
LINGUISTE-INFORMATICIEN(NE)
****************************

* Contexte :

La création et la gestion de ressources linguistiques prend énormément
de temps. Syllabs développe des outils permettant d'aider le linguiste
dans cette tâche. De nombreux outils et interfaces sont à développer
dans ce contexte.

* Sujet du stage :

Aide aux linguistes pour la création et la gestion de ressources
linguistiques

* Objectifs du stage :

La personne recrutée pour ce stage aura pour tâche de concevoir,
implémenter et tester des méthodes permettant d'aider le linguiste
dans sa tâche. Le gros du travail sera centré sur les ressources
lexicales (morphosyntaxiques, thématiques, etc.).
Elle participera à la création d'un formalisme de description des
informations linguistiques qui s'insère dans un formalisme de
description plus large.
Le stage pourra déboucher sur une thèse avec un sujet plus ou moins
proche (Syllabs devrait débuter deux thèses, fin 2008, sur des sujets
à définir).

* Connaissances et niveau souhaités :

Linguistique Informatique, Bac+5 - Master 2

- Très bonnes connaissances dans les domaines du Traitement
  Automatique des Langues et de la Gestion de l'information.
- Très bonne maîtrise d'un langage de script : Perl ou Python

- Eléments facultatifs mais considérés comme un plus :
	- maîtrise d'une ou plusieurs langues étrangères
	- maîtrise de Java
	- désir de faire une thèse

Durée : 6 mois

-- 

---------------------------------------------------
Christelle Ayache
Chef de projet - Syllabs
62 Bis rue Gay Lussac 75005 Paris
Tel : +33 (0)1 75 00 02 80
Courriel : ayache@syllabs.com
Site Web : www.syllabs.com
---------------------------------------------------"
"10","2008-02-11","SPIM - Paris 5","Paris","Proposition de stage M2 

ADAPTATION DE TERMINOLOGIES EXISTANTES AU TRAVERS DE CORPUS

Natalia Grabar (natalia.grabar@spim.jussieu.fr)
SPIM - Centre de Recherche des Cordeliers ; U Paris Descartes, UMR_S 872 ;
INSERM, U872 ; HEGP AP-HP

Contexte

Plusieurs terminologies existent dans le domaine biomédical et
proposent des descriptions de la biologie ou de la médecine. Ces
terminologies ont deux caractéristiques principales : 1. Elles sont
spécifiques aux applications : MeSH (NLM, 2001) pour la recherche
d'information, MedDRA (Brown et al., 1999) pour la description des
effets indésirables des médicaments, GO (Gene Ontology Consortium,
2000) pour l'annotation fonctionnelle des gènes, ...  2. Elles sont
généralistes de domaines médical ou biologique : elles visent à en
proposer une description aussi exhaustive que possible.

Du fait de leur spécificité (1), leur utilisation est plus aisée dans
des applications. Quant à leur nature généraliste (2), cela correspond
à un réel besoin mais peut présenter une limite lorsque l'on travaille
avec des données d'une seule spécialité médicale (cardiologie,
stomatologie) ou même avec des données relatives à un questionnement
médical plus précis (diagnostic de métastases hépatiques du cancer
colorectal). Dans ce dernier cas surtout, il pourrait être intéressant
d'avoir une ressource terminologique adaptée à la question médicale.

Objectifs

Le coût nécessaire à l'élaboration de ressources terminologiques étant
élevé, nous proposons d'aborder cette problématique en termes
d'adaptation de terminologies. L'objectif du stage consiste à
implémenter et tester une méthodologie qui permettrait d'adapter les
terminologies existantes, au travers des corpus, à une question
médicale précise.

Le matériel principal de travail sont des mots-clés centraux pour une
question, par exemple: ""colorectal neoplasms"" ; ""liver neoplasms"" ;
""laparoscopy"" ; ""tomography, emission-computed"" ; ""magnetic resonance
imaging"" ; ""tomography, x-ray computed"" pour la question diagnostic de
métastases hépatiques du cancer colorectal. Ce matériel servira
d'amorce pour la constitution de corpus (articles scientifiques) et de
points d'entrée dans les terminologies (p.ex. l'UMLS (NLM, 2007) qui
propose plus de 140 terminologies biomédicales). Le stagiaire
utilisera des outils d'acquisition (Bourigault & Jacquemin, 2000) et
structuration (Grabar & Hamon, 2004) des terminologies. Le
développement en Perl (sous Linux/Unix) sera demandé lors de
différentes étapes de la méthodologie.

Déroulement du stage

Le stage sera encadré par un chercheur en informatique biomédicale et
en TAL, et co-encadré par un médecin. Il s'agit d'un stage de 6 mois
rémunéré. Il se déroulera au Centre de Cordeliers (Paris 6). Un CV et
une lettre de motivation sont à envoyer à Natalia Grabar.

Références 

BOURIGAULT, D. & JACQUEMIN , C. (2000). Construction de ressources
terminologiques, In J.-M. PIERREL, Ed., Industrie des langues,
pp. 215­233.

BROWN , E., WOOD , L. & WOOD , S. (1999). The medical dictionary for
regulatory activities (MedDRA). Drug Saf., 20(2), 109­17.

GENE ONTOLOGY CONSORTIUM (2000). Gene Ontology : tool for the
unification of biology. Nature genetics, 25, 25­29.

GRABAR , N. & HAMON , T. (2004). Les relations dans les terminologies
structurées : de la théorie à la pratique. Revue d'Intelligence
Artificielle (RIA), 18(1).

NLM (2001). Medical Subject Headings. National Library of Medicine,
Bethesda, Maryland. http://www.nlm.nih.gov/mesh/ meshhome.html.

NLM (2007). UMLS Knowledge Sources Manual. National Library of
Medicine, Bethesda, Maryland. www.nlm.nih.gov/research/umls/."
"12","2008-03-17","EDF","Clamart","Stage Moteur de recherche à EDF
=============================

Contexte

Le Département Internet de la Direction Informatique et Telecom a en
charge la promotion des nouvelles technologies au sein d'EDF. Afin de
mener à bien cette mission il a la responsabilité d'un certain nombre
d'Etudes d'Interêt Général dont l'objectif est d'avoir un regard sur
les solutions qu'il sera pertinent d'inclure dans le catalogue des
solutions référencées de l'entreprise. Ces études comportent
généralement cinq phases

· spécification fonctionnelle du besoin en collaboration avec une
  maîtrise d'ouvrage identifiée, cette phase comprend si nécessaire un
  maquettage, une étude ergonomique

· spécification technique : définition de l'architecture technique,
  choix des outils...

· réalisation : paramétrage/développement

· mise en ½uvre pouvant aller jusqu'à un pilote représentatif déployé
  sur des utilisateurs.
 
· retour d'expérience pour prise de décision.

Le stage proposé ci-dessous s'inscrit dans cette dynamique, il est
prévu pour une durée minimale de 3 mois extensibles à 6 mois. Le
stagiaire sera intégré dans les équipes du Département qui dispose de
toutes les compétences pour guider le stagiaire dans son travail. Le
stage débute dés que possible à partir de mars 2008.

Sujet de stage

La disponibilité d'un moteur de recherche pertinent, transverse,
indexant tous les fonds documentaires utiles et respectant les droits
d'accès est une nécessité dans l'entreprise d'aujourd'hui.

Une solution spécifique pour la recherche des documents stockés sur le
poste local doit être trouvée. Le moteur de recherche de Vista
apportera en effet un premier niveau de services, mais ne permettra
pas la recherche en mode déconnecté dans les bases Quickr (outil de
travail collaboratif retenu par EDF) ni la recherche sur les bases
Notes e-mail ou les bases documentaires personnelles des utilisateurs.

EDF dispose dans son catalogue de solution de l'outil K2 (Verity) de
la société Autonomy. Ce moteur de recherche est mis en place sur
certains Intranet ou Internet de l'entreprise.

Le stage consiste en :

· La vérification de la pertinence de K2 sur les fonds actuellement
  indexé,

· La possibilité d'étendre K2 à d'autres fonds (Quickr, bases Notes,
poste local,...)

· Une étude des nouvelles solutions disponibles sur le marché (Google,
  Sinequa, Exalead) à la fois sur le poste de travail mais aussi au
  niveau serveur. Cette étude pourra aborder également aborder des
  sujets connexes tels que la catégorisation automatique, la recherche
  de contenus non textuels, la recherche cross-langage, la veille
  technologique.

Compétences requises
· Connaissance informatique généraliste
· Bonne autonomie, aptitude à rendre compte de son travail
· Rigueur dans lanalyse des résultats et la comparaison des solutions

Lieu du stage
EDF-DIT, 1 avenue du Général de Gaulle 92141 Clamart

Contact : Cécile Gros
cecile.gros@edfgdf.fr
01 47 65 59 92"
